2026-09-24 08:59:11 - INFO - 当前服务器配置为：交易时间段服务器重启后，执行拉起本交易操作
2026-09-24 08:59:16 - INFO - 竞价候选池 连板20只+高位44只=去重59只: ['金健米业', '华纺股份', '华丽家族', '龙头股份', '华远控股', '新华传媒', '新华文轩', '博通集成', '内蒙新华', '锡华科技', '南威软件', '南华生物', '我爱我家', '大亚圣象', '华瓷股份', '泰慕士', '三羊马', '世联行', '华软科技', '奥佳华', '香江控股', '开开实业', '天通股份', '敦煌种业', '万向德农', '新赛股份', '神奇制药', '先导基电', '哈药股份', '百花医药', '金牛化工', '云煤能源', '国芳集团', '会稽山  ', '华脉科技', '华正新材', '爱丽家居', '海鸥股份', '天洋新材', '科森科技', '哈森股份', '澳弘电子', '新中港  ', '一鸣食品', '龙版传媒', '德龙汇能', '桂林旅游', '闽东电力', '金 螳 螂', '海鸥住工', '澳洋健康', '美盈森', '星网锐捷', '德尔未来', '高争民爆', '集泰股份', '豪尔赛', '华盛昌', '楚天龙']
2026-09-24 09:15:00 - INFO - 竞价轮询: 暂无卖一挂跌停价命中
2026-09-24 09:15:30 - INFO - 竞价轮询, 卖一挂跌停命中 13 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:19:00 002303.SZ 美盈森      6.70     0.00       10581        3382       10581        4605      226.59        0.00      226.59      482.33        0.00      489.17
09:19:00 003040.SZ 楚天龙     14.32    -9.99        8852        5815        8852        6738      832.71        0.00      832.71      434.90      591.13      434.90
2026-09-24 09:19:30 - INFO - 竞价轮询, 卖一挂跌停命中 13 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:19:30 600630.SS 龙头股份      7.68    -9.96       16438       36485       16438       39614     1262.44     1539.68     1262.44        0.00     2121.52        0.00
09:19:30 603230.SS 内蒙新华     15.13    -9.89        3968        3906        5366        5515      590.98        0.00      590.98        9.38      244.63       12.08
09:19:30 000504.SZ 南华生物     11.48   -10.03        4911       96456        6674       97506      563.78    10509.38      563.78        0.00    10644.73        0.00
09:19:30 001216.SZ 华瓷股份     25.48   -10.00        7031       17634        7031       29216     1791.50     2701.64     1791.50        0.00     6098.13        0.00
09:19:30 001317.SZ 三羊马     59.97     1.03        1623        1632        2660        2199      973.31        5.40      973.31        0.00      701.94      246.80
09:19:30 002285.SZ 世联行      2.85   -10.09       49388       81677      132810      199262     1407.56      920.24     1407.56        0.00     4651.19      602.72
09:19:30 600664.SS 哈药股份      8.14    -9.96       60049       36230       60049       51091     2949.19        0.00     2949.19     1938.79     1426.86     1938.79
09:19:30 601579.SS 会稽山       33.38    -9.17        6536        5382        9136        9354     1796.51        0.00     1796.51      385.21     1250.42     1072.78
09:19:30 605179.SS 一鸣食品     24.38   -10.00        3697        2084        3697        2084      508.08        0.00      508.08      393.25      166.76      393.25
09:19:30 605577.SS 龙版传媒     14.43    -9.36        5246        4299        8513        8437      620.35        0.00      620.35      136.65      359.11      329.45
09:19:30 000993.SZ 闽东电力     16.94    -9.99       24324       16351       24324       67585     2769.86        0.00     2769.86     1350.63     8960.92     1350.63
09:19:30 002303.SZ 美盈森      6.06    -9.55        1909        1878       10581        4605      113.81        0.00      113.81        1.88        0.00      489.17
09:19:30 003040.SZ 楚天龙     14.32    -9.99        9604        5171        9604        6738      740.49        0.00      740.49      634.81      591.13      634.81
2026-09-24 09:20:00 - INFO - 竞价轮询, 卖一挂跌停命中 13 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:20:00 600630.SS 龙头股份      7.68    -9.96       17796       31019       17796       39614     1366.73     1015.60     1366.73        0.00     2121.52        0.00
09:20:00 603230.SS 内蒙新华     15.18    -9.59        3699        3684        5366        5515      559.23        0.00      559.23        2.28      244.63       12.08
09:20:00 000504.SZ 南华生物     11.48   -10.03        4625       74453        6674       97506      530.95     8016.29      530.95        0.00    10644.73        0.00
09:20:00 001216.SZ 华瓷股份     25.48   -10.00        8126        7614        8126       29216     1940.05        0.00     1940.05      130.46     6098.13      130.46
09:20:00 001317.SZ 三羊马     56.90    -4.14        1147         809        2660        2199      460.32        0.00      460.32      192.32      701.94      246.80
09:20:00 002285.SZ 世联行      2.85   -10.09       56519       75301      132810      199262     1610.79      535.29     1610.79        0.00     4651.19      602.72
09:20:00 600664.SS 哈药股份      8.14    -9.96       66461       33869       66461       51091     2757.01        0.00     2757.01     2652.92     1426.86     2652.92
09:20:00 601579.SS 会稽山       33.38    -9.17        7073        5358        9136        9354     1788.50        0.00     1788.50      572.47     1250.42     1072.78
09:20:00 605179.SS 一鸣食品     24.38   -10.00        4235        2118        4235        2118      516.37        0.00      516.37      516.12      166.76      516.12
09:20:00 605577.SS 龙版传媒     14.61    -8.23        3854        3836        8513        8437      560.44        0.00      560.44        2.63      359.11      329.45
09:20:00 000993.SZ 闽东电力     16.95    -9.94       14091       12719       24324       67585     2155.87        0.00     2155.87      232.55     8960.92     1350.63
09:20:00 002303.SZ 美盈森      6.09    -9.10        1937        1974       10581        4605      117.96        2.25      117.96        0.00        2.25      489.17
09:20:00 003040.SZ 楚天龙     14.32    -9.99       10973        4915       10973        6738      703.83        0.00      703.83      867.51      591.13      867.51
2026-09-24 09:20:30 - INFO - 竞价轮询, 卖一挂跌停命中 13 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:20:30 600630.SS 龙头股份      7.68    -9.96       17950       31432       17950       39614     1378.56     1035.49     1378.56        0.00     2121.52        0.00
09:20:30 603230.SS 内蒙新华     15.20    -9.47        4344        4261        5366        5515      647.67        0.00      647.67       12.62      244.63       12.62
09:20:30 000504.SZ 南华生物     11.48   -10.03        5356       56055        6674       97506      614.87     5820.33      614.87        0.00    10644.73        0.00
09:20:30 001216.SZ 华瓷股份     25.48   -10.00        8925        7701        8925       29216     1962.21        0.00     1962.21      311.88     6098.13      311.88
09:20:30 001317.SZ 三羊马     56.90    -4.14        1048         886        2660        2199      504.13        0.00      504.13       92.18      701.94      246.80
09:20:30 002285.SZ 世联行      2.85   -10.09       62696       75209      132810      199262     1786.84      356.62     1786.84        0.00     4651.19      602.72
09:20:30 600664.SS 哈药股份      8.14    -9.96       73499       35923       73499       51091     2924.20        0.00     2924.20     3058.61     1426.86     3058.61
09:20:30 601579.SS 会稽山       33.50    -8.84        5799        5803        9136        9354     1942.66        1.34     1942.66        0.00     1250.42     1072.78
09:20:30 605179.SS 一鸣食品     24.38   -10.00        4738        2200        4738        2200      536.36        0.00      536.36      618.76      166.76      618.76
09:20:30 605577.SS 龙版传媒     14.64    -8.04        4161        4081        8513        8437      597.46        0.00      597.46       11.71      359.11      329.45
09:20:30 000993.SZ 闽东电力     16.95    -9.94       15663       12756       24324       67585     2162.14        0.00     2162.14      492.74     8960.92     1350.63
09:20:30 002303.SZ 美盈森      6.09    -9.10        2502        2091       10581        4605      127.34        0.00      127.34       25.03        2.25      489.17
09:20:30 003040.SZ 楚天龙     14.32    -9.99       12664        5144       12664        6738      736.62        0.00      736.62     1076.86      591.13     1076.86
2026-09-24 09:21:00 - INFO - 竞价轮询, 卖一挂跌停命中 13 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:21:00 600630.SS 龙头股份      7.68    -9.96       19693       33677       19693       39614     1512.42     1074.04     1512.42        0.00     2121.52        0.00
09:21:00 603230.SS 内蒙新华     15.20    -9.47        5476        4720        5476        5515      717.44        0.00      717.44      114.91      244.63      114.91
09:21:00 000504.SZ 南华生物     11.48   -10.03        5845       58595        6674       97506      671.01     6055.79      671.01        0.00    10644.73        0.00
09:21:00 001216.SZ 华瓷股份     25.48   -10.00       10626        7984       10626       29216     2034.32        0.00     2034.32      673.18     6098.13      673.18
09:21:00 001317.SZ 三羊马     56.90    -4.14        1082         908        2660        2199      516.65        0.00      516.65       99.01      701.94      246.80
09:21:00 002285.SZ 世联行      2.85   -10.09       65926       81696      132810      199262     1878.89      449.46     1878.89        0.00     4651.19      602.72
09:21:00 600664.SS 哈药股份      8.15    -9.85       43787       40580       73499       51091     3307.34        0.00     3307.34      261.30     1426.86     3058.61
09:21:00 601579.SS 会稽山       33.51    -8.82        6006        5948        9136        9354     1993.17        0.00     1993.17       19.44     1250.42     1072.78
09:21:00 605179.SS 一鸣食品     24.38   -10.00        5525        2503        5525        2503      610.23        0.00      610.23      736.76      166.76      736.76
09:21:00 605577.SS 龙版传媒     14.80    -7.04        4404        4240        8513        8437      627.52        0.00      627.52       24.27      359.11      329.45
09:21:00 000993.SZ 闽东电力     16.96    -9.88       15252       13281       24324       67585     2252.46        0.00     2252.46      334.28     8960.92     1350.63
09:21:00 002303.SZ 美盈森      6.13    -8.51        3037        2222       10581        4605      136.21        0.00      136.21       49.96        2.25      489.17
09:21:00 003040.SZ 楚天龙     14.32    -9.99       13812        5616       13812        6738      804.21        0.00      804.21     1173.67      591.13     1173.67
2026-09-24 09:21:30 - INFO - 竞价轮询, 卖一挂跌停命中 13 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:21:30 600630.SS 龙头股份      7.68    -9.96       22133       35004       22133       39614     1699.81      988.56     1699.81        0.00     2121.52        0.00
09:21:30 603230.SS 内蒙新华     15.21    -9.41        5004        4975        5476        5515      756.70        0.00      756.70        4.41      244.63      114.91
09:21:30 000504.SZ 南华生物     11.48   -10.03        6602       68166        6674       97506      757.91     7067.63      757.91        0.00    10644.73        0.00
09:21:30 001216.SZ 华瓷股份     25.48   -10.00       11871        8399       11871       29216     2140.07        0.00     2140.07      884.67     6098.13      884.67
09:21:30 001317.SZ 三羊马     56.90    -4.14        1143        1027        2660        2199      584.36        0.00      584.36       66.00      701.94      246.80
09:21:30 002285.SZ 世联行      2.85   -10.09       69883       88862      132810      199262     1991.67      540.92     1991.67        0.00     4651.19      602.72
09:21:30 600664.SS 哈药股份      8.17    -9.62       41958       42411       73499       51091     3427.97       37.08     3427.97        0.00     1426.86     3058.61
09:21:30 601579.SS 会稽山       34.00    -7.48        7345        6773        9136        9354     2302.82        0.00     2302.82      194.48     1250.42     1072.78
09:21:30 605179.SS 一鸣食品     24.38   -10.00        6059        2789        6059        2789      679.96        0.00      679.96      797.23      166.76      797.23
09:21:30 605577.SS 龙版传媒     14.99    -5.84        4649        4550        8513        8437      682.04        0.00      682.04       14.84      359.11      329.45
09:21:30 000993.SZ 闽东电力     17.00    -9.67       14180       13830       24324       67585     2351.10        0.00     2351.10       59.50     8960.92     1350.63
09:21:30 002303.SZ 美盈森      6.19    -7.61        2681        2498       10581        4605      154.63        0.00      154.63       11.33        2.25      489.17
09:21:30 003040.SZ 楚天龙     14.32    -9.99       15454        5786       15454        6738      828.56        0.00      828.56     1384.46      591.13     1384.46
2026-09-24 09:22:00 - INFO - 竞价轮询, 卖一挂跌停命中 13 只:
时间      代码       名称        价格     涨幅%       买量        卖量         买峰值      卖峰值      卖一额      卖二额       买一额      买二额       卖二峰值     买二峰值
09:22:00 600630.SS 龙头股份      7.68    -9.96       23761       36029       23761       39614     1824.84      942.25     1824.84        0.00     2121.52        0.00
09:22:00 603230.SS 内蒙新华     15.30    -8.87        5163        5136        5476        5515      785.81        0.00      785.81        4.13      244.63      114.91
09:22:00 000504.SZ 南华生物     11.48   -10.03        8465       74799        8465       97506      971.78     7615.23      971.78        0.00    10644.73        0.00
